iter	RMSE
0	0.4971154852
1	0.4942982799
2	0.4915866699
3	0.4887623954
4	0.4859177642
5	0.4833220921
6	0.4808845199
7	0.4783348534
8	0.4756896128
9	0.4731364013
10	0.4705987878
11	0.4679975093
12	0.4656586438
13	0.4634674822
14	0.4611583403
15	0.4587636339
16	0.4565009781
17	0.4542305018
18	0.4519424593
19	0.4496873068
20	0.4474437094
21	0.4454013815
22	0.4433709969
23	0.4412068816
24	0.4390086804
25	0.4368307972
26	0.4347926712
27	0.4327669378
28	0.4307410459
29	0.4287664643
30	0.4268642065
31	0.4250101543
32	0.4231150548
33	0.421288218
34	0.4195329092
35	0.417681729
36	0.4160831391
37	0.4144707907
38	0.4127101881
39	0.4110582427
40	0.4094577953
41	0.4078004274
42	0.4061249004
43	0.4046163659
44	0.402949618
45	0.4014587386
46	0.399921118
47	0.3984084312
48	0.3969298571
49	0.3954934043
50	0.3940619355
51	0.3927566906
52	0.3914422904
53	0.3900624552
54	0.3890273269
55	0.387842588
56	0.3865158181
57	0.3852485488
58	0.3840835238
59	0.3827715039
60	0.3814926869
61	0.380361436
62	0.3791608768
63	0.378058166
64	0.3769116379
65	0.3758054243
66	0.3746924279
67	0.3736425585
68	0.3726761637
69	0.3715753382
70	0.3705618534
71	0.3694898869
72	0.3684304074
73	0.3675545375
74	0.3666340589
75	0.3656121129
76	0.3645950911
77	0.3635867934
78	0.3626927062
79	0.3618221207
80	0.3610029829
81	0.3602344414
82	0.3594368389
83	0.3586845722
84	0.3577560939
85	0.3569228177
86	0.3562785182
87	0.355478295
88	0.3548230075
89	0.3541670502
90	0.3534314157
91	0.3527103006
