iter	Passed	Remaining
0	153	153075
1	327	163262
2	500	166388
3	671	167232
4	833	165926
5	1009	167283
6	1192	169228
7	1349	167359
8	1518	167234
9	1693	167676
10	1875	168667
11	2026	166850
12	2196	166774
13	2419	170432
14	2625	172407
15	2810	172851
16	2976	172100
17	3149	171826
18	3334	172178
19	3504	171725
20	3654	170385
21	3830	170286
22	4009	170308
23	4200	170809
24	4373	170559
25	4561	170885
26	4750	171186
27	4923	170902
28	5115	171271
29	5304	171524
30	5498	171878
31	5678	171783
32	5909	173154
33	6089	173006
34	6272	172943
35	6431	172219
36	6584	171381
37	6742	170681
38	6899	170011
39	7047	169137
40	7202	168462
41	7371	168131
42	7527	167541
43	7681	166899
44	7856	166723
45	8029	166525
46	8192	166122
47	8373	166067
48	8580	166539
49	8746	166178
50	8892	165471
51	9077	165490
52	9264	165534
53	9449	165536
54	9605	165042
55	9786	164970
56	9958	164747
57	10139	164680
58	10319	164591
59	10505	164592
60	10692	164599
61	10881	164633
62	11046	164289
63	11214	164005
64	11402	164026
65	11596	164111
66	11800	164321
67	11971	164081
68	12140	163807
69	12333	163852
70	12521	163833
71	12690	163568
72	12886	163644
73	13054	163355
74	13223	163087
75	13411	163050
76	13604	163082
77	13775	162828
78	13927	162364
79	14107	162241
80	14308	162341
81	14477	162082
82	14638	161727
83	14818	161594
84	15006	161535
85	15179	161329
86	15336	160949
87	15509	160738
88	15695	160656
89	15865	160414
90	16037	160200
91	16198	159872
